file_name,path,well_plate,well,plate,date_time,RFU,plate_key,population,acclimation_level,p,phosphate_level,multitron,slot,phosphate_concentration,population_new_color,start_time,days
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02_1,B02,1,2019-05-27T13:21:49Z,79.200000000000003,1,25,LP,P,1,5,15,0.5,no,2019-05-24T09:36:16Z,3.1566319444444444
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02_1,C02,1,2019-05-27T13:21:49Z,89.900000000000006,1,6,LP,P,1,5,15,0.5,no,2019-05-24T09:36:16Z,3.1566319444444444
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02_1,D02,1,2019-05-27T13:21:49Z,80.200000000000003,1,24,LP,P,1,5,15,0.5,no,2019-05-24T09:36:16Z,3.1566319444444444
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02_1,E02,1,2019-05-27T13:21:49Z,88.900000000000006,1,1,LP,P,1,5,15,0.5,no,2019-05-24T09:36:16Z,3.1566319444444444
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,F02_1,F02,1,2019-05-27T13:21:49Z,70.5,1,25,LP,P,1,5,15,0.5,no,2019-05-24T09:36:16Z,3.1566319444444444
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate1_test_190527_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,G02_1,G02,1,2019-05-27T13:21:49Z,79.900000000000006,1,11,LP,P,1,5,15,0.5,no,2019-05-24T09:36:16Z,3.1566319444444444
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,B02_10,B02,10,2019-05-24T11:10:42Z,48.100000000000001,1,25,LP,P,4,5,18,4,no,2019-05-24T11:10:42Z,0
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,C02_10,C02,10,2019-05-24T11:10:42Z,42.799999999999997,1,6,LP,P,4,5,18,4,no,2019-05-24T11:10:42Z,0
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,D02_10,D02,10,2019-05-24T11:10:42Z,50.899999999999999,1,24,LP,P,4,5,18,4,no,2019-05-24T11:10:42Z,0
imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_plate10_test_190524_,imaging/phosphate-gen5-outputs/Rstar_BF_phosphate_,E02_10,E02,10,2019-05-24T11:10:42Z,65.900000000000006,1,1,LP,P,4,5,18,4,no,2019-05-24T11:10:42Z,0
