treatment,ancestor_id,population,diversity,change_pstar_lower,change_pstar_upper,change_pstar_mean,change_nstar_lower,change_nstar_upper,change_nstar_mean,change_istar_lower,change_istar_upper,change_istar_mean,change_salt_tol_lower,change_salt_tol_upper,change_salt_tol_mean
B,anc2,19,Isoclonal,-1.0980030809652206,-0.7917076179280537,-1.0064071133680954,0.9185017320113458,1.8851605509826577,1.7212232165343504,-0.6608610187702226,0.35305116251753116,-0.23402222017571417,-0.15400056420263872,-0.013649866648385217,-0.07463365878072004
B,anc3,7,Isoclonal,-1.4464819837023233,-1.0093021695390496,-1.3482032007659122,0.7181782337036201,2.1066449068681776,1.7433718552695772,-0.3241268729369393,0.7200407454454081,0.2021896359700934,0.21878946370091149,0.26872646347284473,0.27682973916867476
B,anc4,21,Isoclonal,-1.1374072565187168,-0.9645116988986763,-1.1323578699671986,-2.1089524709742036,-0.7409682186373706,-1.700100266182079,-1.105373920412016,-0.49643520122245605,-0.8881543577434594,0.4643670644941201,0.3502151561542392,0.43309944679763285
B,anc5,16,Isoclonal,-0.18329284026640932,0.17273195138748138,-0.01578258804807353,-0.889304391178762,0.4768838752666854,-0.21600933296425703,0.5871553250976093,1.3866055562679696,1.0670816184878193,0.35102681043083295,0.8626256994395796,0.6009978159846332
B,cc1690,31,Genotypically diverse,-1.0071134864301587,-0.506360390727636,-0.8062820381180359,0.20862247000126513,1.6062685814053945,1.1401332216221258,-1.4019336545804963,-0.626881942581341,-1.1547919883473035,0.08563011889441548,0.1227043616507641,0.09541763840290474
BS,anc2,25,Isoclonal,-0.08482679513003252,0.16746011199485764,0.036782981671846994,-0.4785671745521211,0.3286836701502413,-0.06986803026036212,-0.9356316192973909,-0.21334191049543233,-0.6536626439590582,1.3334877206223787,1.2118230754558572,1.3866709193900166
BS,anc3,2,Isoclonal,-1.4507679536397924,-1.1911751147524448,-1.4190080128732032,0.429879709706881,1.2881693327468768,1.0859230037510292,-1.130297217771606,-0.39958899368669976,-0.8647961230222039,2.9488120058465808,2.365890014543414,2.7103958543496955
BS,anc4,35,Isoclonal,-1.4658950910217465,-1.3781089092448389,-1.53280971595252,-1.7657045183778166,-0.7386282336811382,-1.4736983933185097,-0.2849428028663474,0.24981270406825373,-0.033134482325005335,-0.002976970635380837,0.2854925878321909,0.18199002924154467
BS,cc1690,9,Genotypically diverse,-0.7641121591985037,0.7143901790343018,-0.07644142000933092,0.07108823959240942,1.0352228011914284,0.7084506476669477,-1.4588596139188788,-0.9432691088744144,-1.3376681298957116,0.3506446313179756,0.5906209769734543,0.5115305745573088
C,anc4,24,Isoclonal,-1.0573326053546073,-0.7572877563381698,-0.9773695592874052,0.2871897061104792,2.2301365317643627,1.714491950777672,0.39785672033742936,1.593889102584109,1.0772460973318447,0.3642572346011061,0.3001525488052667,0.3775256020509088
C,anc5,5,Isoclonal,-0.48765883726096343,-0.17761629953149843,-0.36741447558718554,0.7926972212578979,2.2170433016232147,1.9261759904362057,1.3167027630476495,2.740597041790489,2.2005450504902173,0.021360396294008457,0.0860022537635006,0.06732206981014568
